,fiscal_year,mission,cost,destination
1861,2011,Mars Odyssey,10.1,Mars
1862,2012,Mars Odyssey,13.3,Mars
1863,2013,Mars Odyssey,13.2,Mars
1864,2014,Mars Odyssey,12.3,Mars
1865,2015,Mars Odyssey,12,Mars
1866,2016,Mars Odyssey,9.7,Mars
1867,2017,Mars Odyssey,10.8,Mars
1868,2018,Mars Odyssey,11.3,Mars
1869,2019,Mars Odyssey,11.5,Mars
1870,2020,Mars Odyssey,11.7,Mars
1871,2021,Mars Odyssey,1,Mars
1872,2022,Mars Odyssey,,Mars
1873,2023,Mars Odyssey,,Mars
1874,2024,Mars Odyssey,,Mars
1875,2025,Mars Odyssey,,Mars
1876,1960,Mars Pathfinder,,Mars
1877,1961,Mars Pathfinder,,Mars
1878,1962,Mars Pathfinder,,Mars
1879,1963,Mars Pathfinder,,Mars
1880,1964,Mars Pathfinder,,Mars
1881,1965,Mars Pathfinder,,Mars
1882,1966,Mars Pathfinder,,Mars
1883,1967,Mars Pathfinder,,Mars
1884,1968,Mars Pathfinder,,Mars
1885,1969,Mars Pathfinder,,Mars
1886,1970,Mars Pathfinder,,Mars
1887,1971,Mars Pathfinder,,Mars
1888,1972,Mars Pathfinder,,Mars
1889,1973,Mars Pathfinder,,Mars
1890,1974,Mars Pathfinder,,Mars
1891,1975,Mars Pathfinder,,Mars
1892,1976,Mars Pathfinder,,Mars
1894,1977,Mars Pathfinder,,Mars
1895,1978,Mars Pathfinder,,Mars
1896,1979,Mars Pathfinder,,Mars
1897,1980,Mars Pathfinder,,Mars
1898,1981,Mars Pathfinder,,Mars
1899,1982,Mars Pathfinder,,Mars
1900,1983,Mars Pathfinder,,Mars
1901,1984,Mars Pathfinder,,Mars
1902,1985,Mars Pathfinder,,Mars
1903,1986,Mars Pathfinder,,Mars
1904,1987,Mars Pathfinder,,Mars
1905,1988,Mars Pathfinder,,Mars
1906,1989,Mars Pathfinder,,Mars
1907,1990,Mars Pathfinder,,Mars
1908,1991,Mars Pathfinder,,Mars
1909,1992,Mars Pathfinder,,Mars
1910,1993,Mars Pathfinder,3.1,Mars
1911,1994,Mars Pathfinder,76.3,Mars
1912,1995,Mars Pathfinder,109.4,Mars
1913,1996,Mars Pathfinder,57.1,Mars
1914,1997,Mars Pathfinder,11.8,Mars
1915,1998,Mars Pathfinder,4.6,Mars
1916,1999,Mars Pathfinder,,Mars
1917,2000,Mars Pathfinder,,Mars
1918,2001,Mars Pathfinder,,Mars
1919,2002,Mars Pathfinder,,Mars
1920,2003,Mars Pathfinder,,Mars
1921,2004,Mars Pathfinder,,Mars
1922,2005,Mars Pathfinder,,Mars
1923,2006,Mars Pathfinder,,Mars
1924,2007,Mars Pathfinder,,Mars
1925,2008,Mars Pathfinder,,Mars
1926,2009,Mars Pathfinder,,Mars
1927,2010,Mars Pathfinder,,Mars
1928,2011,Mars Pathfinder,,Mars
1929,2012,Mars Pathfinder,,Mars
1930,2013,Mars Pathfinder,,Mars
1931,2014,Mars Pathfinder,,Mars
1932,2015,Mars Pathfinder,,Mars
1933,2016,Mars Pathfinder,,Mars
1934,2017,Mars Pathfinder,,Mars
1935,2018,Mars Pathfinder,,Mars
1936,2019,Mars Pathfinder,,Mars
1937,2020,Mars Pathfinder,,Mars
1938,2021,Mars Pathfinder,,Mars
1939,2022,Mars Pathfinder,,Mars
1940,2023,Mars Pathfinder,,Mars
1941,2024,Mars Pathfinder,,Mars
1942,2025,Mars Pathfinder,,Mars
1943,1960,MAVEN,,Mars
1944,1961,MAVEN,,Mars
1945,1962,MAVEN,,Mars
1946,1963,MAVEN,,Mars
1947,1964,MAVEN,,Mars
1948,1965,MAVEN,,Mars
1949,1966,MAVEN,,Mars
1950,1967,MAVEN,,Mars
1951,1968,MAVEN,,Mars
1952,1969,MAVEN,,Mars
1953,1970,MAVEN,,Mars
1954,1971,MAVEN,,Mars
1955,1972,MAVEN,,Mars
1956,1973,MAVEN,,Mars
1957,1974,MAVEN,,Mars
1958,1975,MAVEN,,Mars
1959,1976,MAVEN,,Mars
1961,1977,MAVEN,,Mars
1962,1978,MAVEN,,Mars
1963,1979,MAVEN,,Mars
1964,1980,MAVEN,,Mars
1965,1981,MAVEN,,Mars
1966,1982,MAVEN,,Mars
1967,1983,MAVEN,,Mars
1968,1984,MAVEN,,Mars
1969,1985,MAVEN,,Mars
1970,1986,MAVEN,,Mars
1971,1987,MAVEN,,Mars
1972,1988,MAVEN,,Mars
1973,1989,MAVEN,,Mars
1974,1990,MAVEN,,Mars
1975,1991,MAVEN,,Mars
1976,1992,MAVEN,,Mars
1977,1993,MAVEN,,Mars
1978,1994,MAVEN,,Mars
1979,1995,MAVEN,,Mars
1980,1996,MAVEN,,Mars
1981,1997,MAVEN,,Mars
1982,1998,MAVEN,,Mars
1983,1999,MAVEN,,Mars
1984,2000,MAVEN,,Mars
1985,2001,MAVEN,,Mars
1986,2002,MAVEN,,Mars
1987,2003,MAVEN,,Mars
1988,2004,MAVEN,,Mars
1989,2005,MAVEN,,Mars
1990,2006,MAVEN,,Mars
1991,2007,MAVEN,5.3,Mars
1992,2008,MAVEN,1,Mars
1993,2009,MAVEN,6.7,Mars
1994,2010,MAVEN,48.1,Mars
1995,2011,MAVEN,160.5,Mars
1996,2012,MAVEN,245.7,Mars
1997,2013,MAVEN,86.5,Mars
1998,2014,MAVEN,14.9,Mars
1999,2015,MAVEN,13.8,Mars
2000,2016,MAVEN,21.3,Mars
2001,2017,MAVEN,20.5,Mars
2002,2018,MAVEN,22.2,Mars
2003,2019,MAVEN,17.9,Mars
2004,2020,MAVEN,20.5,Mars
2005,2021,MAVEN,22,Mars
2006,2022,MAVEN,21,Mars
2007,2023,MAVEN,20,Mars
2008,2024,MAVEN,20,Mars
2009,2025,MAVEN,18,Mars
2010,1960,MESSENGER,,Mercury
2011,1961,MESSENGER,,Mercury
2012,1962,MESSENGER,,Mercury
2013,1963,MESSENGER,,Mercury
2014,1964,MESSENGER,,Mercury
2015,1965,MESSENGER,,Mercury
2016,1966,MESSENGER,,Mercury
2017,1967,MESSENGER,,Mercury
2018,1968,MESSENGER,,Mercury
2019,1969,MESSENGER,,Mercury
2020,1970,MESSENGER,,Mercury
2021,1971,MESSENGER,,Mercury
2022,1972,MESSENGER,,Mercury
2023,1973,MESSENGER,,Mercury
2024,1974,MESSENGER,,Mercury
2025,1975,MESSENGER,,Mercury
2026,1976,MESSENGER,,Mercury
2028,1977,MESSENGER,,Mercury
2029,1978,MESSENGER,,Mercury
2030,1979,MESSENGER,,Mercury
2031,1980,MESSENGER,,Mercury
2032,1981,MESSENGER,,Mercury
2033,1982,MESSENGER,,Mercury
2034,1983,MESSENGER,,Mercury
2035,1984,MESSENGER,,Mercury
2036,1985,MESSENGER,,Mercury
2037,1986,MESSENGER,,Mercury
2038,1987,MESSENGER,,Mercury
2039,1988,MESSENGER,,Mercury
2040,1989,MESSENGER,,Mercury
2041,1990,MESSENGER,,Mercury
2042,1991,MESSENGER,,Mercury
2043,1992,MESSENGER,,Mercury
2044,1993,MESSENGER,,Mercury
2045,1994,MESSENGER,,Mercury
2046,1995,MESSENGER,,Mercury
2047,1996,MESSENGER,,Mercury
2048,1997,MESSENGER,,Mercury
2049,1998,MESSENGER,,Mercury
2050,1999,MESSENGER,1.7,Mercury
2051,2000,MESSENGER,9.6,Mercury
2052,2001,MESSENGER,51.8,Mercury
2053,2002,MESSENGER,97.4,Mercury
2054,2003,MESSENGER,86.7,Mercury
2055,2004,MESSENGER,42.3,Mercury
2056,2005,MESSENGER,7.7,Mercury
2057,2006,MESSENGER,8.2,Mercury
2058,2007,MESSENGER,9.4,Mercury
2059,2008,MESSENGER,11.5,Mercury
2060,2009,MESSENGER,16.3,Mercury
2061,2010,MESSENGER,15.8,Mercury
2062,2011,MESSENGER,22.7,Mercury
2063,2012,MESSENGER,34.9,Mercury
2064,2013,MESSENGER,16.6,Mercury
2065,2014,MESSENGER,12.2,Mercury
2066,2015,MESSENGER,6,Mercury
2067,2016,MESSENGER,6.8,Mercury
2068,2017,MESSENGER,,Mercury
2069,2018,MESSENGER,,Mercury
2070,2019,MESSENGER,,Mercury
2071,2020,MESSENGER,,Mercury
2072,2021,MESSENGER,,Mercury
2073,2022,MESSENGER,,Mercury
2074,2023,MESSENGER,,Mercury
2075,2024,MESSENGER,,Mercury
2076,2025,MESSENGER,,Mercury
2077,1960,MER,,Mars
2078,1961,MER,,Mars
2079,1962,MER,,Mars
2080,1963,MER,,Mars
2081,1964,MER,,Mars
2082,1965,MER,,Mars
2083,1966,MER,,Mars
2084,1967,MER,,Mars
2085,1968,MER,,Mars
2086,1969,MER,,Mars
2087,1970,MER,,Mars
2088,1971,MER,,Mars
2089,1972,MER,,Mars
2090,1973,MER,,Mars
2091,1974,MER,,Mars
2092,1975,MER,,Mars
2093,1976,MER,,Mars
2095,1977,MER,,Mars
2096,1978,MER,,Mars
2097,1979,MER,,Mars
2098,1980,MER,,Mars
2099,1981,MER,,Mars
2100,1982,MER,,Mars
2101,1983,MER,,Mars
2102,1984,MER,,Mars
2103,1985,MER,,Mars
2104,1986,MER,,Mars
2105,1987,MER,,Mars
2106,1988,MER,,Mars
2107,1989,MER,,Mars
2108,1990,MER,,Mars
2109,1991,MER,,Mars
2110,1992,MER,,Mars
2111,1993,MER,,Mars
2112,1994,MER,,Mars
2113,1995,MER,,Mars
2114,1996,MER,,Mars
2115,1997,MER,,Mars
2116,1998,MER,,Mars
2117,1999,MER,,Mars
2118,2000,MER,18.9,Mars
2119,2001,MER,296,Mars
2120,2002,MER,277.6,Mars
2121,2003,MER,172.4,Mars
2122,2004,MER,51.6,Mars
2123,2005,MER,30.33333333,Mars
2124,2006,MER,30.33333333,Mars
2125,2007,MER,30.33333333,Mars
2126,2008,MER,20,Mars
2127,2009,MER,20,Mars
2128,2010,MER,20,Mars
2129,2011,MER,13.6,Mars
2130,2012,MER,15,Mars
2131,2013,MER,13.2,Mars
2132,2014,MER,14,Mars
2133,2015,MER,13.7,Mars
2134,2016,MER,14.2,Mars
2135,2017,MER,12.5,Mars
2136,2018,MER,12.5,Mars
2137,2019,MER,3.6,Mars
2138,2020,MER,,Mars
2139,2021,MER,,Mars
2140,2022,MER,,Mars
2141,2023,MER,,Mars
2142,2024,MER,,Mars
2143,2025,MER,,Mars
2144,1960,MGS,,Mars
2145,1961,MGS,,Mars
2146,1962,MGS,,Mars
2147,1963,MGS,,Mars
2148,1964,MGS,,Mars
2149,1965,MGS,,Mars
2150,1966,MGS,,Mars
2151,1967,MGS,,Mars
2152,1968,MGS,,Mars
2153,1969,MGS,,Mars
2154,1970,MGS,,Mars
2155,1971,MGS,,Mars
2156,1972,MGS,,Mars
2157,1973,MGS,,Mars
2158,1974,MGS,,Mars
2159,1975,MGS,,Mars
2160,1976,MGS,,Mars
2162,1977,MGS,,Mars
2163,1978,MGS,,Mars
2164,1979,MGS,,Mars
2165,1980,MGS,,Mars
2166,1981,MGS,,Mars
2167,1982,MGS,,Mars
2168,1983,MGS,,Mars
2169,1984,MGS,,Mars
2170,1985,MGS,,Mars
2171,1986,MGS,,Mars
2172,1987,MGS,,Mars
2173,1988,MGS,,Mars
2174,1989,MGS,,Mars
2175,1990,MGS,,Mars
2176,1991,MGS,,Mars
2177,1992,MGS,,Mars
2178,1993,MGS,,Mars
2179,1994,MGS,14.8,Mars
2180,1995,MGS,80,Mars
2181,1996,MGS,82.9,Mars
2182,1997,MGS,21.4,Mars
2183,1998,MGS,19.5,Mars
2184,1999,MGS,13.1,Mars
2185,2000,MGS,12.8,Mars
2186,2001,MGS,9.1,Mars
2187,2002,MGS,6,Mars
2188,2003,MGS,6,Mars
2189,2004,MGS,6,Mars
2190,2005,MGS,6,Mars
2191,2006,MGS,6,Mars
2192,2007,MGS,,Mars
2193,2008,MGS,,Mars
2194,2009,MGS,,Mars
2195,2010,MGS,,Mars
2196,2011,MGS,,Mars
2197,2012,MGS,,Mars
2198,2013,MGS,,Mars
2199,2014,MGS,,Mars
2200,2015,MGS,,Mars
2201,2016,MGS,,Mars
2202,2017,MGS,,Mars
2203,2018,MGS,,Mars
2204,2019,MGS,,Mars
2205,2020,MGS,,Mars
2206,2021,MGS,,Mars
2207,2022,MGS,,Mars
2208,2023,MGS,,Mars
2209,2024,MGS,,Mars
2210,2025,MGS,,Mars
2211,1960,MOMA,,Mars
2212,1961,MOMA,,Mars
2213,1962,MOMA,,Mars
2214,1963,MOMA,,Mars
2215,1964,MOMA,,Mars
2216,1965,MOMA,,Mars
2217,1966,MOMA,,Mars
2218,1967,MOMA,,Mars
2219,1968,MOMA,,Mars
2220,1969,MOMA,,Mars
2221,1970,MOMA,,Mars
2222,1971,MOMA,,Mars
2223,1972,MOMA,,Mars
2224,1973,MOMA,,Mars
2225,1974,MOMA,,Mars
2226,1975,MOMA,,Mars
2227,1976,MOMA,,Mars
2229,1977,MOMA,,Mars
2230,1978,MOMA,,Mars
2231,1979,MOMA,,Mars
2232,1980,MOMA,,Mars
2233,1981,MOMA,,Mars
2234,1982,MOMA,,Mars
2235,1983,MOMA,,Mars
2236,1984,MOMA,,Mars
2237,1985,MOMA,,Mars
2238,1986,MOMA,,Mars
2239,1987,MOMA,,Mars
2240,1988,MOMA,,Mars
2241,1989,MOMA,,Mars
2242,1990,MOMA,,Mars
2243,1991,MOMA,,Mars
2244,1992,MOMA,,Mars
2245,1993,MOMA,,Mars
2246,1994,MOMA,,Mars
2247,1995,MOMA,,Mars
2248,1996,MOMA,,Mars
2249,1997,MOMA,,Mars
2250,1998,MOMA,,Mars
2251,1999,MOMA,,Mars
2252,2000,MOMA,,Mars
2253,2001,MOMA,,Mars
2254,2002,MOMA,,Mars
2255,2003,MOMA,,Mars
2256,2004,MOMA,,Mars
2257,2005,MOMA,,Mars
2258,2006,MOMA,,Mars
2259,2007,MOMA,,Mars
2260,2008,MOMA,,Mars
2261,2009,MOMA,,Mars
2262,2010,MOMA,,Mars
2263,2011,MOMA,6,Mars
2264,2012,MOMA,12.6,Mars
2265,2013,MOMA,14.4,Mars
2266,2014,MOMA,20.9,Mars
2267,2015,MOMA,24.5,Mars
2268,2016,MOMA,12.5,Mars
2269,2017,MOMA,12.1,Mars
2270,2018,MOMA,12.9,Mars
2271,2019,MOMA,6.9,Mars
2272,2020,MOMA,6.7,Mars
2273,2021,MOMA,6.9,Mars
2274,2022,MOMA,4,Mars
2275,2023,MOMA,4,Mars
2276,2024,MOMA,3,Mars
2277,2025,MOMA,,Mars
2278,1960,MPL and MCO,,Mars
2279,1961,MPL and MCO,,Mars
2280,1962,MPL and MCO,,Mars
2281,1963,MPL and MCO,,Mars
2282,1964,MPL and MCO,,Mars
2283,1965,MPL and MCO,,Mars
2284,1966,MPL and MCO,,Mars
2285,1967,MPL and MCO,,Mars
2286,1968,MPL and MCO,,Mars
2287,1969,MPL and MCO,,Mars
2288,1970,MPL and MCO,,Mars
2289,1971,MPL and MCO,,Mars
2290,1972,MPL and MCO,,Mars
2291,1973,MPL and MCO,,Mars
2292,1974,MPL and MCO,,Mars
2293,1975,MPL and MCO,,Mars
2294,1976,MPL and MCO,,Mars
2296,1977,MPL and MCO,,Mars
2297,1978,MPL and MCO,,Mars
2298,1979,MPL and MCO,,Mars
2299,1980,MPL and MCO,,Mars
2300,1981,MPL and MCO,,Mars
2301,1982,MPL and MCO,,Mars
2302,1983,MPL and MCO,,Mars
2303,1984,MPL and MCO,,Mars
2304,1985,MPL and MCO,,Mars
2305,1986,MPL and MCO,,Mars
2306,1987,MPL and MCO,,Mars
2307,1988,MPL and MCO,,Mars
2308,1989,MPL and MCO,,Mars
2309,1990,MPL and MCO,,Mars
2310,1991,MPL and MCO,,Mars
2311,1992,MPL and MCO,,Mars
2312,1993,MPL and MCO,,Mars
2313,1994,MPL and MCO,,Mars
2314,1995,MPL and MCO,,Mars
2315,1996,MPL and MCO,59.8,Mars
2316,1997,MPL and MCO,118.2,Mars
2317,1998,MPL and MCO,79.6,Mars
2318,1999,MPL and MCO,27.2,Mars
2319,2000,MPL and MCO,6,Mars
2320,2001,MPL and MCO,,Mars
2321,2002,MPL and MCO,,Mars
2322,2003,MPL and MCO,,Mars
2323,2004,MPL and MCO,,Mars
2324,2005,MPL and MCO,,Mars
2325,2006,MPL and MCO,,Mars
2326,2007,MPL and MCO,,Mars
2327,2008,MPL and MCO,,Mars
2328,2009,MPL and MCO,,Mars
2329,2010,MPL and MCO,,Mars
2330,2011,MPL and MCO,,Mars
2331,2012,MPL and MCO,,Mars
2332,2013,MPL and MCO,,Mars
2333,2014,MPL and MCO,,Mars
2334,2015,MPL and MCO,,Mars
2335,2016,MPL and MCO,,Mars
2336,2017,MPL and MCO,,Mars
2337,2018,MPL and MCO,,Mars
2338,2019,MPL and MCO,,Mars
2339,2020,MPL and MCO,,Mars
2340,2021,MPL and MCO,,Mars
2341,2022,MPL and MCO,,Mars
2342,2023,MPL and MCO,,Mars
2343,2024,MPL and MCO,,Mars
2344,2025,MPL and MCO,,Mars
2345,1960,MRO,,Mars
2346,1961,MRO,,Mars
2347,1962,MRO,,Mars
2348,1963,MRO,,Mars
2349,1964,MRO,,Mars
2350,1965,MRO,,Mars
2351,1966,MRO,,Mars
2352,1967,MRO,,Mars
2353,1968,MRO,,Mars
2354,1969,MRO,,Mars
2355,1970,MRO,,Mars
2356,1971,MRO,,Mars
2357,1972,MRO,,Mars
2358,1973,MRO,,Mars
2359,1974,MRO,,Mars
2360,1975,MRO,,Mars
2361,1976,MRO,,Mars
2363,1977,MRO,,Mars
2364,1978,MRO,,Mars
2365,1979,MRO,,Mars
2366,1980,MRO,,Mars
2367,1981,MRO,,Mars
2368,1982,MRO,,Mars
2369,1983,MRO,,Mars
2370,1984,MRO,,Mars
2371,1985,MRO,,Mars
2372,1986,MRO,,Mars
2373,1987,MRO,,Mars
2374,1988,MRO,,Mars
2375,1989,MRO,,Mars
2376,1990,MRO,,Mars
2377,1991,MRO,,Mars
2378,1992,MRO,,Mars
2379,1993,MRO,,Mars
2380,1994,MRO,,Mars
2381,1995,MRO,,Mars
2382,1996,MRO,,Mars
2383,1997,MRO,,Mars
2384,1998,MRO,,Mars
2385,1999,MRO,,Mars
2386,2000,MRO,,Mars
2387,2001,MRO,12,Mars
2388,2002,MRO,58,Mars
2389,2003,MRO,146.9,Mars
2390,2004,MRO,185.5,Mars
2391,2005,MRO,143.7,Mars
2392,2006,MRO,46.4,Mars
2393,2007,MRO,47.6,Mars
2394,2008,MRO,38.9,Mars
2395,2009,MRO,23.9,Mars
2396,2010,MRO,23.2,Mars
2397,2011,MRO,30.1,Mars
2398,2012,MRO,39.9,Mars
2399,2013,MRO,20.6,Mars
2400,2014,MRO,29.2,Mars
2401,2015,MRO,27.9,Mars
2402,2016,MRO,27.7,Mars
2403,2017,MRO,28,Mars
2404,2018,MRO,26.3,Mars
2405,2019,MRO,26,Mars
2406,2020,MRO,28,Mars
2407,2021,MRO,25.5,Mars
2408,2022,MRO,25,Mars
2409,2023,MRO,24.5,Mars
2410,2024,MRO,23.5,Mars
2411,2025,MRO,23.5,Mars
2412,1960,MSL Curiosity,,Mars
2413,1961,MSL Curiosity,,Mars
2414,1962,MSL Curiosity,,Mars
2415,1963,MSL Curiosity,,Mars
2416,1964,MSL Curiosity,,Mars
2417,1965,MSL Curiosity,,Mars
2418,1966,MSL Curiosity,,Mars
2419,1967,MSL Curiosity,,Mars
2420,1968,MSL Curiosity,,Mars
2421,1969,MSL Curiosity,,Mars
2422,1970,MSL Curiosity,,Mars
2423,1971,MSL Curiosity,,Mars
2424,1972,MSL Curiosity,,Mars
2425,1973,MSL Curiosity,,Mars
2426,1974,MSL Curiosity,,Mars
2427,1975,MSL Curiosity,,Mars
2428,1976,MSL Curiosity,,Mars
2430,1977,MSL Curiosity,,Mars
2431,1978,MSL Curiosity,,Mars
2432,1979,MSL Curiosity,,Mars
2433,1980,MSL Curiosity,,Mars
2434,1981,MSL Curiosity,,Mars
2435,1982,MSL Curiosity,,Mars
2436,1983,MSL Curiosity,,Mars
2437,1984,MSL Curiosity,,Mars
2438,1985,MSL Curiosity,,Mars
2439,1986,MSL Curiosity,,Mars
2440,1987,MSL Curiosity,,Mars
2441,1988,MSL Curiosity,,Mars
2442,1989,MSL Curiosity,,Mars
2443,1990,MSL Curiosity,,Mars
2444,1991,MSL Curiosity,,Mars
2445,1992,MSL Curiosity,,Mars
2446,1993,MSL Curiosity,,Mars
2447,1994,MSL Curiosity,,Mars
2448,1995,MSL Curiosity,,Mars
2449,1996,MSL Curiosity,,Mars
2450,1997,MSL Curiosity,,Mars
2451,1998,MSL Curiosity,,Mars
2452,1999,MSL Curiosity,,Mars
2453,2000,MSL Curiosity,,Mars
2454,2001,MSL Curiosity,,Mars
2455,2002,MSL Curiosity,5.7,Mars
2456,2003,MSL Curiosity,60.6,Mars
2457,2004,MSL Curiosity,118.1,Mars
2458,2005,MSL Curiosity,117.5,Mars
2459,2006,MSL Curiosity,251,Mars
2460,2007,MSL Curiosity,416.8,Mars
2461,2008,MSL Curiosity,545,Mars
2462,2009,MSL Curiosity,229.3,Mars
2463,2010,MSL Curiosity,258.4,Mars
2464,2011,MSL Curiosity,242.9,Mars
2465,2012,MSL Curiosity,174,Mars
2466,2013,MSL Curiosity,63.8,Mars
2467,2014,MSL Curiosity,69.6,Mars
2468,2015,MSL Curiosity,63.5,Mars
2469,2016,MSL Curiosity,50.3,Mars
2470,2017,MSL Curiosity,56.2,Mars
2471,2018,MSL Curiosity,51.4,Mars
2472,2019,MSL Curiosity,51.1,Mars
2473,2020,MSL Curiosity,50,Mars
2474,2021,MSL Curiosity,40,Mars
2475,2022,MSL Curiosity,,Mars
2476,2023,MSL Curiosity,,Mars
2477,2024,MSL Curiosity,,Mars
2478,2025,MSL Curiosity,,Mars
2479,1960,NEAR,,Asteroid
2480,1961,NEAR,,Asteroid
2481,1962,NEAR,,Asteroid
2482,1963,NEAR,,Asteroid
2483,1964,NEAR,,Asteroid
2484,1965,NEAR,,Asteroid
2485,1966,NEAR,,Asteroid
2486,1967,NEAR,,Asteroid
2487,1968,NEAR,,Asteroid
2488,1969,NEAR,,Asteroid
2489,1970,NEAR,,Asteroid
2490,1971,NEAR,,Asteroid
2491,1972,NEAR,,Asteroid
2492,1973,NEAR,,Asteroid
2493,1974,NEAR,,Asteroid
2494,1975,NEAR,,Asteroid
2495,1976,NEAR,,Asteroid
2497,1977,NEAR,,Asteroid
2498,1978,NEAR,,Asteroid
2499,1979,NEAR,,Asteroid
2500,1980,NEAR,,Asteroid
2501,1981,NEAR,,Asteroid
2502,1982,NEAR,,Asteroid
2503,1983,NEAR,,Asteroid
2504,1984,NEAR,,Asteroid
2505,1985,NEAR,,Asteroid
2506,1986,NEAR,,Asteroid
2507,1987,NEAR,,Asteroid
2508,1988,NEAR,,Asteroid
2509,1989,NEAR,,Asteroid
2510,1990,NEAR,,Asteroid
2511,1991,NEAR,,Asteroid
2512,1992,NEAR,,Asteroid
2513,1993,NEAR,,Asteroid
2514,1994,NEAR,91.2,Asteroid
2515,1995,NEAR,66,Asteroid
2516,1996,NEAR,16.4,Asteroid
2517,1997,NEAR,3.3,Asteroid
2518,1998,NEAR,11.2,Asteroid
2519,1999,NEAR,14.5,Asteroid
2520,2000,NEAR,13.2,Asteroid
2521,2001,NEAR,10,Asteroid
2522,2002,NEAR,1.5,Asteroid
2523,2003,NEAR,3,Asteroid
2524,2004,NEAR,,Asteroid
2525,2005,NEAR,,Asteroid
2526,2006,NEAR,,Asteroid
2527,2007,NEAR,,Asteroid
2528,2008,NEAR,,Asteroid
2529,2009,NEAR,,Asteroid
2530,2010,NEAR,,Asteroid
2531,2011,NEAR,,Asteroid
2532,2012,NEAR,,Asteroid
2533,2013,NEAR,,Asteroid
2534,2014,NEAR,,Asteroid
2535,2015,NEAR,,Asteroid
2536,2016,NEAR,,Asteroid
2537,2017,NEAR,,Asteroid
2538,2018,NEAR,,Asteroid
2539,2019,NEAR,,Asteroid
2540,2020,NEAR,,Asteroid
2541,2021,NEAR,,Asteroid
2542,2022,NEAR,,Asteroid
2543,2023,NEAR,,Asteroid
2544,2024,NEAR,,Asteroid
2545,2025,NEAR,,Asteroid
